文章,該当するジャンル
他人に自己紹介するのが苦手だと感じる。,IE
自分の考えに夢中になって、周囲のことを無視したり忘れることがよくある。,IE
受信箱がごちゃごちゃするのが我慢できず、できるだけ早くEメールに返答しようとする。,IE
プレッシャーがあるときでも常にリラックスし、集中できる。,AT
通常、自分から話を始めることはない。,IE
まったくの好奇心から何かを始めるということは、めったにない。,SN
他人よりも自分が優れていると感じる。,AT
順応性があるというよりも、系統立てて物事を進められることの方が自分にとってはより重要である。,JP
普段は非常に意欲的で、エネルギッシュである。,SN*
誰も腹を立てないようにすることの方が、議論で勝つよりも大切である。,TF
他人に自分自身を正当化しなければならないかのように感じることがよくある。,AT
自宅および仕事場の環境はかなり整理されている。,JP
注目の的となることが気にならない。,AT
自分自身は創造的というより実用的であると思う。,SN
誰かを相手に腹が立つということは、めったにない。,TF
旅行に行くときはかなり計画を練る方である。,JP
他人の感情に共感することは難しいと感じることがよくある。,TF
気分が非常に変わりやすい方である。,AT
討論において、人の感受性よりも真実の方がより重要である。,TF
自分の行動が他人に及ぼす影響について心配することは、めったにない。,TF
自分の仕事のスタイルは、整然とした体系的なアプローチというよりは、ランダムなエネルギーの突出に近い。,JP
他人のことを羨ましく思うことがよくある。,AT
面白い本やビデオゲームの方が、ソーシャルイベントよりも良いと感じることがよくある。,IE
計画を立て、その通りに実行できるということは、あらゆるプロジェクトにおける最も重要な部分である。,JP
幻想やアイデアに没頭して我を忘れることはめったにない。,IE
自然の中を歩いているときに、自分の思索に没頭してしまうことがよくある。,SN
誰かが自分のEメールにすぐに返事をしないと、何か誤ったことを言ってしまったのではないかと心配し始める。,IE
親として、自分の子供が頭のいい子であるよりも、優しい子に育って欲しいと思う。,TF
他人に自分の行動についてあれこれ言わせない。,AT
自分の夢は、現実の世界やイベントに焦点を当てたものである傾向が高い。,SN
新しい職場での社交活動に参加し始めるのにそれほど時間を要しない。,IE
入念な計画立案者というよりは、その場で即興で物事を行うタイプである。,JP
感情を支配するというより、感情に支配される方である。,AT
着飾ったり、ロールプレイなどを行うソーシャルイベントに参加するのが楽しい。,IE
非現実的で、非実用的な、しかし興味をそそるアイデアを、あれこれ考えることが多い。,SN
詳細な計画を立てるのに時間を費やすよりも、どちらかというと即興で物事を実行する。,JP
どちらかというと控えめで、静かな性格である。,IE
事業を持っていたとしたら、忠実ではあるが業績が芳しくない社員をクビにすることは非常に難しいと思う。,TF
人間の存在理由について熟考することがよくある。,SN
重要な決定を行うとなると、心情よりも論理の方がより重要である。,TF
ToDoリストを持つよりも、自由な選択肢を残しておくことの方がより重要である。,JP
友達が何かに悲しんでいる場合、問題対処の方法を提案するよりも、情緒的なサポートをすることの方が多い。,TF
自分が情緒的に不安定だと感じることはめったにない。,AT
個人的な時間表を作成し、その通りに行うことにまったく問題がない。,JP
チームワークという点では、正しいということの方が、協力的であるということより重要である。,TF
皆の意見は、事実の裏付けがあるかどうかに限らず尊重されるべきであると考える。,TF
多くの人と時間を一緒にした後の方がより精力的に感じる。,IE
自分の所持品を誤った場所に置いてしまうことがよくある。,JP
自分は夢想家ではないと思う。,SN
まだ十分検討されていないアイデアや計画で、いつも頭の中が一杯である。,SN
自分自身のことを夢想家とは呼ばない。,SN
多くの人の前で話をする際、普通はリラックスできない。,AT
一般的に言って、想像力よりも経験に頼る。,SN
他人が考えることについてあれこれ心配しすぎる。,AT
部屋が一杯の場合、真ん中を避けて壁に近いところにいる傾向がある。,JP
何かを行うときは、時間がギリギリになるまで物事を先送りにする傾向がある。,JP
ストレスのある状況では、非常に不安を感じる。,AT
他人に好かれる事の方が、権力を持つよりも、もっと報われると考える。,TF
本、アート、または映画などの型にはまらない、曖昧な物事に常に興味をもってきた。,SN
ソーシャルな状況でイニシアチブを取ることがよくある。,IE







